Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc
cspE,,transcription antiterminator/RNA stability regulator CspE,1167,1167,1.0,2.0,555.0,2.0,530.0,,209,209,209
groES,,co-chaperone GroES,1167,1167,1.0,4.0,159.0,4.0,159.0,,293,293,293
ptsH,,phosphocarrier protein Hpr,1167,1167,1.0,5.0,322.0,5.0,357.0,,257,257,257
rplT,,50S ribosomal protein L20,1167,1167,1.0,1.0,653.0,1.0,994.0,,356,356,356
rplV,,50S ribosomal protein L22,1167,1167,1.0,12.0,47.0,12.0,47.0,,332,332,332
prs,,ribose-phosphate pyrophosphokinase,1167,1167,1.0,1.0,191.0,1.0,534.0,,947,947,947
fis,,DNA-binding transcriptional regulator Fis,1167,1167,1.0,15.0,39.0,15.0,9.0,,296,296,296
rpsK,,30S ribosomal protein S11,1167,1167,1.0,12.0,29.0,12.0,65.0,,389,389,389
cpxR,,envelope stress response regulator transcription factor CpxR,1167,1167,1.0,10.0,74.0,10.0,74.0,,698,698,698
feoA,,ferrous iron transporter A,1167,1167,1.0,7.0,159.0,7.0,29.0,,227,227,227
CIX45_08970,,rhodanese-like domain-containing protein,1167,1167,1.0,7.0,121.0,7.0,186.0,,431,431,431
rmf,,ribosome modulation factor,1167,1167,1.0,1.0,279.0,1.0,26.0,,167,167,167
recA,,recombinase RecA,1167,1167,1.0,6.0,171.0,6.0,204.0,,1061,1061,1061
ftsA,,cell division protein FtsA,1167,1167,1.0,9.0,85.0,9.0,139.0,,1262,1262,1262
ynhF,,YnhF family membrane protein,1167,1167,1.0,1.0,748.0,1.0,899.0,,89,89,89
adk,,adenylate kinase,1167,1167,1.0,2.0,412.0,2.0,384.0,,644,644,644
sra,,stationary-phase-induced ribosome-associated protein,1167,1167,1.0,1.0,889.0,1.0,758.0,,143,143,143
CE616_03730,,DUF2594 family protein,1167,1167,1.0,1.0,13.0,1.0,357.0,,224,224,224
zapA,,cell division protein ZapA,1167,1167,1.0,3.0,46.0,3.0,498.0,,329,329,329
rplQ,,50S ribosomal protein L17,1167,1167,1.0,12.0,26.0,12.0,68.0,,383,383,383
ilvL,,ilv operon leader peptide,1167,1167,1.0,11.0,85.0,11.0,62.0,,98,98,98
rplL,,50S ribosomal protein L7/L12,1167,1167,1.0,16.0,12.0,16.0,27.0,,365,365,365
rplD,,50S ribosomal protein L4,1167,1167,1.0,12.0,51.0,12.0,43.0,,605,605,605
yajC,,preprotein translocase subunit YajC,1167,1167,1.0,2.0,327.0,2.0,299.0,,332,332,332
fliG,,flagellar motor switch protein FliG,1167,1167,1.0,8.0,35.0,8.0,202.0,,995,995,995
rpsQ,,30S ribosomal protein S17,1167,1167,1.0,12.0,43.0,12.0,51.0,,254,254,254
xseB,,exodeoxyribonuclease VII small subunit,1167,1167,1.0,2.0,346.0,2.0,318.0,,242,242,242
flgM,,anti-sigma-28 factor FlgM,1167,1167,1.0,1.0,393.0,1.0,138.0,,293,293,293
rpmE,,50S ribosomal protein L31,1167,1167,1.0,10.0,37.0,10.0,37.0,,212,212,212
GXF80_20000,,hypothetical protein,1167,1167,1.0,1.0,55.0,1.0,399.0,,395,395,395
spaQ,,SPI-1 type III secretion system export apparatus protein SpaQ,1167,1167,1.0,6.0,234.0,6.0,141.0,,260,260,260
ibpA,,heat shock chaperone IbpA,1167,1167,1.0,7.0,6.0,7.0,77.0,,413,413,413
recR,,recombination protein RecR,1167,1167,1.0,2.0,409.0,2.0,381.0,,605,605,605
HVH16_004748,,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,1167,1266,1.09,1.0,956.0,1.0,693.0,,1118,1118,1118
aceE,,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type",1167,1167,1.0,9.0,107.0,9.0,161.0,,2663,2663,2663
ung,,uracil-DNA glycosylase,1167,1167,1.0,1.0,473.0,1.0,214.0,,689,689,689
fliZ,,flagella biosynthesis regulatory protein FliZ,1167,1167,1.0,1.0,7.0,1.0,351.0,,551,551,551
mrcA,,peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcA,1167,1167,1.0,7.0,146.0,7.0,16.0,,2552,2576,2573
dksA,,RNA polymerase-binding transcription factor DksA,1167,1167,1.0,9.0,141.0,9.0,195.0,,455,455,455
nuoA,,NADH-quinone oxidoreductase subunit NuoA,1167,1167,1.0,5.0,82.0,5.0,82.0,,443,443,443
CEZ51_16275,,Lon protease family protein,1167,1167,1.0,1.0,281.0,1.0,28.0,,1760,1760,1760
modC,,molybdenum ABC transporter ATP-binding protein ModC,1167,1167,1.0,3.0,418.0,3.0,135.0,,1058,1058,1058
dgt,,dGTPase,1167,1167,1.0,9.0,163.0,9.0,44.0,,1517,1517,1517
lptF,,LPS export ABC transporter permease LptF,1167,1167,1.0,4.0,389.0,4.0,364.0,,1100,1100,1100
cbiM,,cobalt ECF transporter S component CbiM,1167,1167,1.0,8.0,145.0,8.0,257.0,,737,737,737
pgk,,phosphoglycerate kinase,1167,1167,1.0,3.0,56.0,3.0,508.0,,1163,1163,1163
fruK,,1-phosphofructokinase,1167,1167,1.0,8.0,336.0,8.0,45.0,,938,938,938
cydB,,cytochrome d ubiquinol oxidase subunit II,1167,1167,1.0,2.0,281.0,2.0,253.0,,1010,1010,1010
ppsA,,phosphoenolpyruvate synthase,1167,1167,1.0,1.0,668.0,1.0,979.0,,2378,2378,2378
GUE41_001813,,TonB-dependent siderophore receptor,1167,1167,1.0,6.0,118.0,6.0,257.0,,2180,2180,2180
creB,,two-component system response regulator CreB,1167,1167,1.0,4.0,277.0,4.0,251.0,,689,689,689
C0672_15845,,phosphotriesterase,1167,1167,1.0,7.0,203.0,7.0,345.0,,1034,1034,1034
yncL,,stress response membrane protein YncL,1167,1217,1.05,1.0,922.0,1.0,725.0,,95,95,95
dusB,,tRNA dihydrouridine synthase DusB,1167,1167,1.0,15.0,40.0,15.0,10.0,,965,965,965
IHX85_001199,,MFS transporter,1167,1167,1.0,1.0,806.0,1.0,841.0,,1253,1253,1253
EWW67_12715,,hypothetical protein,1167,1167,1.0,1.0,25.0,1.0,369.0,,335,335,335
osmY,,molecular chaperone OsmY,1167,1167,1.0,4.0,305.0,4.0,279.0,,617,617,617
sulA,,cell division inhibitor SulA,1167,1167,1.0,1.0,284.0,1.0,31.0,,509,509,509
galE,,UDP-glucose 4-epimerase GalE,1167,1167,1.0,3.0,425.0,3.0,143.0,,1016,1016,1016
yaaA,,peroxide stress protein YaaA,1167,1167,1.0,4.0,260.0,4.0,234.0,,773,773,773
pgsA,,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,1167,1167,1.0,1.0,17.0,1.0,361.0,,548,548,548
GUE41_001654,,DMT family transporter,1167,1167,1.0,4.0,475.0,4.0,455.0,,920,926,925
rlmI,,23S rRNA (cytosine(1962)-C(5))-methyltransferase RlmI,1167,1167,1.0,1.0,293.0,1.0,40.0,,1211,1211,1211
dcuR,,two-component system response regulator DcuR,1167,1167,1.0,4.0,131.0,4.0,133.0,,719,719,719
rplM,,50S ribosomal protein L13,1167,1167,1.0,3.0,443.0,3.0,162.0,,428,428,428
ispH,,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,1167,1167,1.0,4.0,215.0,4.0,189.0,,950,950,950
plsB,,glycerol-3-phosphate 1-O-acyltransferase PlsB,1167,1167,1.0,4.0,58.0,4.0,61.0,,2420,2420,2420
CHU46_04890,,Na+/H+ antiporter,1167,1167,1.0,4.0,97.0,4.0,99.0,,1646,1652,1646
LPF62_003285,,Na/Pi cotransporter family protein,1167,1167,1.0,4.0,9.0,4.0,13.0,,1631,1631,1631
dsbB,,disulfide bond formation protein DsbB,1167,1167,1.0,1.0,163.0,1.0,506.0,,530,530,530
EJN31_04610,,hydrolase,1167,1167,1.0,1.0,57.0,1.0,401.0,,566,566,566
fbaA,,class II fructose-bisphosphate aldolase,1167,1167,1.0,3.0,55.0,3.0,507.0,,1079,1079,1079
H0G94_001623,,TonB-dependent siderophore receptor,1167,1167,1.0,2.0,508.0,2.0,484.0,,2255,2255,2255
tbpA,,thiamine ABC transporter substrate binding subunit,1167,1167,1.0,9.0,60.0,9.0,114.0,,983,983,983
wzxC,,MOP flippase family protein,1167,1167,1.0,8.0,228.0,8.0,341.0,,1478,1478,1478
lolB,,lipoprotein localization protein LolB,1167,1167,1.0,1.0,193.0,1.0,536.0,,623,623,623
GVB26_000091,,hypothetical protein,1167,1167,1.0,1.0,640.0,1.0,1007.0,,536,536,536
ulaR,,HTH-type transcriptional regulator UlaR,1167,1167,1.0,4.0,490.0,4.0,470.0,,755,755,755
rnhB,,ribonuclease HII,1167,1167,1.0,9.0,187.0,9.0,19.0,,596,596,596
MKI04_004608,,DUF1971 domain-containing protein,1167,1167,1.0,1.0,162.0,1.0,505.0,,341,341,341
glmS,,glutamine--fructose-6-phosphate transaminase (isomerizing),1167,1167,1.0,14.0,29.0,14.0,29.0,,1829,1829,1829
sbmC,,DNA gyrase inhibitor SbmC,1167,1167,1.0,8.0,184.0,8.0,296.0,,467,467,467
lpoB,,penicillin-binding protein activator LpoB,1167,1167,1.0,1.0,432.0,1.0,175.0,,638,638,638
rplI,,50S ribosomal protein L9,1167,1167,1.0,4.0,476.0,4.0,456.0,,449,449,449
GWE48_16475,,alpha/beta hydrolase,1167,1167,1.0,1.0,435.0,1.0,178.0,,542,542,542
FBB63_22885,,DUF1992 domain-containing protein,1167,1167,1.0,12.0,25.0,12.0,69.0,,368,368,368
rarA,,replication-associated recombination protein A,1167,1167,1.0,13.0,52.0,13.0,21.0,,1343,1343,1343
rraA,,ribonuclease E activity regulator RraA,1167,1167,1.0,10.0,44.0,10.0,44.0,,479,485,484
hfq,,RNA chaperone Hfq,1167,1167,1.0,4.0,188.0,4.0,492.0,,308,308,308
EWW67_06170,,"L,D-transpeptidase family protein",1167,1167,1.0,1.0,693.0,1.0,954.0,,998,1001,1000
rpoC,,DNA-directed RNA polymerase subunit beta',1167,1167,1.0,16.0,14.0,16.0,25.0,,4223,4223,4223
ubiD,,4-hydroxy-3-polyprenylbenzoate decarboxylase,1167,1167,1.0,11.0,9.0,11.0,9.0,,1478,1478,1478
speF,,ornithine decarboxylase SpeF,1167,1167,1.0,2.0,67.0,2.0,67.0,,2198,2198,2198
J9377_000348,,YkgJ family cysteine cluster protein,1167,1167,1.0,1.0,236.0,1.0,579.0,,404,404,404
wcaF,,colanic acid biosynthesis acetyltransferase WcaF,1167,1167,1.0,8.0,236.0,8.0,349.0,,554,554,554
hisF,,imidazole glycerol phosphate synthase subunit HisF,1167,1167,1.0,8.0,203.0,8.0,315.0,,776,776,776
GUE38_000558,,aldo/keto reductase,1167,1167,1.0,1.0,602.0,1.0,1045.0,,857,857,857
GOQ63_004558,,LysR family transcriptional regulator,1167,1167,1.0,13.0,42.0,13.0,11.0,,911,911,911
csgC,,curli assembly protein CsgC,1167,1167,1.0,1.0,364.0,1.0,111.0,,326,326,326
sapA,,peptide ABC transporter substrate-binding protein SapA,1167,1176,1.01,1.0,1024.0,1.0,625.0,,1649,1649,1649
atpI,,F0F1 ATP synthase subunit I,1167,1167,1.0,14.0,18.0,14.0,18.0,,380,380,380
dcuC,,anaerobic C4-dicarboxylate transporter DcuC,1167,1167,1.0,2.0,552.0,2.0,528.0,,1385,1385,1385
spaS,,SPI-1 type III secretion system export apparatus protein SpaS,1167,1167,1.0,6.0,232.0,6.0,143.0,,1070,1070,1070
nrdD,,anaerobic ribonucleoside-triphosphate reductase,1167,1167,1.0,4.0,415.0,4.0,396.0,,2138,2138,2138
IFF49_000211,,threonylcarbamoyl-AMP synthase,1167,1167,1.0,1.0,249.0,1.0,592.0,,620,620,620
mlaD,,outer membrane lipid asymmetry maintenance protein MlaD,1167,1167,1.0,3.0,478.0,3.0,197.0,,551,551,551
chiP,,chitoporin,1167,1167,1.0,2.0,81.0,2.0,81.0,,1406,1406,1406
sbcB,,exodeoxyribonuclease I,1167,1167,1.0,8.0,191.0,8.0,303.0,,1430,1430,1430
yhdP,,AsmA2 domain-containing protein,1167,1167,1.0,15.0,19.0,15.0,40.0,,3800,3800,3800
mdh,,malate dehydrogenase,1167,1167,1.0,15.0,9.0,15.0,30.0,,938,938,938
nuoC,,NADH-quinone oxidoreductase subunit C/D,1167,1167,1.0,5.0,80.0,5.0,80.0,,1802,1802,1802
FCF81_09720,,YebC/PmpR family DNA-binding transcriptional regulator,1167,1167,1.0,1.0,60.0,1.0,404.0,,740,740,740
rpoE,,RNA polymerase sigma factor RpoE,1167,1167,1.0,1.0,481.0,1.0,223.0,,575,575,575
GVC20_002715,,DUF469 domain-containing protein,1167,1167,1.0,3.0,96.0,3.0,446.0,,326,326,326
dnaB,,replicative DNA helicase DnaB,1167,1167,1.0,4.0,69.0,4.0,72.0,,1415,1415,1415
mnmE,,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,1167,1176,1.01,14.0,50.0,14.0,50.0,,1364,1364,1364
fucA,,L-fuculose-phosphate aldolase,1167,1167,1.0,6.0,323.0,6.0,52.0,,647,647,647
D6I09_00600,,hypothetical protein,1167,1167,1.0,4.0,351.0,4.0,325.0,,461,461,461
LD394_002395,,sirohydrochlorin cobaltochelatase,1167,1167,1.0,8.0,147.0,8.0,259.0,,794,794,794
potD,,spermidine/putrescine ABC transporter substrate-binding protein PotD,1167,1167,1.0,1.0,447.0,1.0,190.0,,1046,1046,1046
csiR,,DNA-binding transcriptional regulator CsiR,1167,1167,1.0,6.0,136.0,6.0,239.0,,677,677,677
pfkB,,6-phosphofructokinase II,1167,1167,1.0,1.0,643.0,1.0,1004.0,,925,932,931
group_17381,mrdA,penicillin-binding protein 2,1167,1167,1.0,1.0,48.0,1.0,392.0,,1859,1871,1870
yfcF,,glutathione transferase,1167,1167,1.0,5.0,103.0,5.0,104.0,,644,644,644
mrdB,,peptidoglycan glycosyltransferase MrdB,1167,1167,1.0,2.0,565.0,2.0,540.0,,1112,1112,1112
plaP,,putrescine/proton symporter PlaP,1167,1167,1.0,8.0,192.0,8.0,304.0,,1358,1358,1358
bamB,,outer membrane protein assembly factor BamB,1167,1167,1.0,5.0,230.0,5.0,266.0,,1178,1178,1178
gltP,,glutamate/aspartate:proton symporter GltP,1167,1167,1.0,4.0,111.0,4.0,113.0,,1310,1310,1310
csgG,,curli production assembly/transport protein CsgG,1167,1167,1.0,1.0,357.0,1.0,104.0,,833,833,833
malF,,maltose ABC transporter permease MalF,1167,1167,1.0,4.0,51.0,4.0,54.0,,1544,1544,1544
CHU50_11420,,YraN family protein,1167,1167,1.0,3.0,523.0,3.0,243.0,,395,395,395
sppA,,signal peptide peptidase SppA,1167,1167,1.0,1.0,610.0,1.0,1037.0,,1856,1856,1856
pyrD,,quinone-dependent dihydroorotate dehydrogenase,1167,1167,1.0,1.0,271.0,1.0,18.0,,1010,1010,1010
mdtG,,multidrug efflux MFS transporter MdtG,1167,1167,1.0,1.0,373.0,1.0,120.0,,1214,1214,1214
ftsW,,cell division protein FtsW,1167,1167,1.0,9.0,80.0,9.0,134.0,,1244,1244,1244
rpoB,,DNA-directed RNA polymerase subunit beta,1167,1167,1.0,16.0,13.0,16.0,26.0,,4028,4028,4028
GZB61_000606,,metal/formaldehyde-sensitive transcriptional repressor,1167,1264,1.09,1.0,957.0,1.0,692.0,,275,275,275
GZB72_002988,,aspartate/glutamate racemase family protein,1167,1167,1.0,4.0,354.0,4.0,328.0,,728,734,733
citF,,citrate lyase subunit alpha,1167,1167,1.0,2.0,545.0,2.0,521.0,,1529,1529,1529
flgH,,flagellar basal body L-ring protein FlgH,1167,1167,1.0,1.0,402.0,1.0,147.0,,698,698,698
serC,,3-phosphoserine/phosphohydroxythreonine transaminase,1167,1167,1.0,13.0,66.0,13.0,35.0,,1088,1088,1088
gapA,,glyceraldehyde-3-phosphate dehydrogenase,1167,1167,1.0,1.0,605.0,1.0,1042.0,,995,995,995
LS670_000102,,DUF1449 family protein,1167,1167,1.0,3.0,186.0,3.0,354.0,,620,620,620
pepA,,leucyl aminopeptidase,1167,1167,1.0,4.0,390.0,4.0,365.0,,1511,1511,1511
atpF,,F0F1 ATP synthase subunit B,1167,1167,1.0,14.0,21.0,14.0,21.0,,470,470,470
ybfF,,esterase,1167,1167,1.0,2.0,72.0,2.0,72.0,,770,770,770
rpmB,,50S ribosomal protein L28,1167,1347,1.16,7.0,93.0,7.0,162.0,,236,236,236
CJG77_04530,,DeoR family transcriptional regulator,1167,1167,1.0,1.0,701.0,1.0,946.0,,1226,1226,1226
GZB81_003431,,epimerase,1167,1167,1.0,10.0,53.0,10.0,53.0,,764,764,764
glnD,,bifunctional uridylyltransferase/uridylyl-removing protein GlnD,1167,1167,1.0,9.0,205.0,9.0,37.0,,2672,2672,2672
dcrB,,DUF1795 domain-containing protein,1167,1167,1.0,7.0,233.0,7.0,315.0,,557,557,557
secD,,protein translocase subunit SecD,1167,1167,1.0,2.0,328.0,2.0,300.0,,1847,1847,1847
sfbB,,virulence-associated ABC transporter ATP-binding protein SfbB,1167,1167,1.0,2.0,437.0,2.0,409.0,,1016,1016,1016
potC,,spermidine/putrescine ABC transporter permease PotC,1167,1167,1.0,1.0,448.0,1.0,191.0,,779,779,779
C9B11_18065,,glycoside hydrolase family 105 protein,1167,1167,1.0,1.0,47.0,1.0,391.0,,1139,1139,1139
ribF,,bifunctional riboflavin kinase/FAD synthetase,1167,1167,1.0,4.0,219.0,4.0,193.0,,938,938,938
dmsB,,dimethylsulfoxide reductase subunit B,1167,1167,1.0,5.0,221.0,5.0,257.0,,629,629,629
ispA,,"(2E,6E)-farnesyl diphosphate synthase",1167,1167,1.0,2.0,345.0,2.0,317.0,,899,899,899
fabR,,HTH-type transcriptional repressor FabR,1167,1167,1.0,10.0,6.0,10.0,6.0,,635,635,635
rsmA,,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA,1167,1167,1.0,9.0,41.0,9.0,94.0,,821,821,821
rspA,,starvation-sensing protein RspA,1167,1167,1.0,1.0,826.0,1.0,821.0,,1214,1214,1214
speE,,polyamine aminopropyltransferase,1167,1167,1.0,9.0,121.0,9.0,175.0,,860,860,860
dnaN,,DNA polymerase III subunit beta,1167,1174,1.01,14.0,56.0,14.0,56.0,,1100,1100,1100
glnE,,bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase,1167,1167,1.0,3.0,191.0,3.0,349.0,,2843,2843,2843
